Departure Node;Arrival node;Duration (minutes);Travle type (TW- walk, TC - Car)
84;1139;27; TC
84;1140;12; TC
86;1139;32; TC
86;1140;18; TC
1139;366;40; TC
1139;367;19; TC
1140;366;11; TC
1140;367;24; TC
1139;370;46; TC
1140;370;19; TC
1139;81;7; TC
1139;82;34; TC
1140;81;31; TC
1140;82;17; TC
1139;84;28; TC
1139;671;22; TC
1140;84;12; TC
572;1139;36; TC
1139;86;34; TC
572;1140;8; TC
1140;671;16; TC
573;1139;18; TC
1140;86;17; TC
573;1140;32; TC
734;1139;22; TC
734;1140;36; TC
439;1139;12; TC
439;1140;34; TC
440;1139;22; TC
440;1140;16; TC
1076;1139;18; TC
1076;1140;46; TC
1077;1139;42; TC
1139;439;12; TC
1077;1140;15; TC
1139;440;22; TC
1140;439;34; TC
1139;734;22; TC
1140;440;16; TC
1140;734;36; TC
293;1139;8; TC
293;1140;34; TC
294;1139;19; TC
294;1140;28; TC
929;1139;7; TC
929;1140;28; TC
930;1139;30; TC
773;1139;15; TC
930;1140;5; TC
773;1140;19; TC
774;1139;23; TC
774;1140;10; TC
1139;773;15; TC
1139;774;23; TC
1140;773;19; TC
1140;774;10; TC
1139;1076;18; TC
1139;1077;44; TC
3;1139;6; TC
1140;1076;46; TC
3;1140;31; TC
1140;1077;15; TC
4;1139;28; TC
4;1140;13; TC
6;1139;30; TC
6;1140;7; TC
638;1139;17; TC
638;1140;16; TC
1139;508;16; TC
1140;508;41; TC
1139;510;38; TC
1140;510;9; TC
346;1139;15; TC
346;1140;27; TC
508;1139;16; TC
508;1140;41; TC
510;1139;37; TC
510;1140;10; TC
671;1139;23; TC
671;1140;16; TC
1139;572;37; TC
1139;573;18; TC
1140;572;8; TC
1140;573;32; TC
366;1139;38; TC
366;1140;11; TC
367;1139;18; TC
367;1140;26; TC
1139;293;8; TC
1139;294;19; TC
1140;293;32; TC
1139;3;6; TC
1140;294;27; TC
370;1139;45; TC
1139;4;28; TC
370;1140;19; TC
1140;3;29; TC
1140;4;12; TC
1139;6;30; TC
1140;6;7; TC
1139;929;7; TC
81;1139;7; TC
1139;930;30; TC
81;1140;31; TC
1139;638;16; TC
1140;929;29; TC
1139;346;15; TC
82;1139;32; TC
1140;930;6; TC
82;1140;18; TC
1140;638;16; TC
1140;346;27; TC
