Line number;Trip id;Departure node;Arrival node;Departure time;Arrival time;Distance (kilometers)
1;2;4;3;306;352;19.574
1;5;6;3;338;384;20.256
1;7;4;3;352;401;19.574
1;8;6;3;366;415;20.256
1;9;4;3;382;434;19.574
1;10;6;3;397;449;20.256
1;11;4;3;411;468;19.574
1;12;4;3;441;498;19.574
1;13;4;3;471;528;19.574
1;14;4;3;501;558;19.574
1;15;4;3;531;588;19.574
1;16;4;3;561;618;19.574
1;17;4;3;591;648;19.574
1;18;4;3;621;678;19.574
1;19;4;3;651;708;19.574
1;20;4;3;681;738;19.574
1;21;4;3;711;768;19.574
1;22;4;3;741;798;19.574
1;23;4;3;771;828;19.574
1;24;4;3;800;858;19.574
1;25;4;3;830;888;19.574
1;26;4;3;860;918;19.574
1;27;4;3;890;948;19.574
1;28;4;3;920;978;19.574
1;29;4;3;950;1008;19.574
1;30;4;3;981;1038;19.574
1;31;4;3;1011;1068;19.574
1;32;6;3;427;483;20.256
1;33;6;3;457;513;20.256
1;34;6;3;487;543;20.256
1;35;6;3;517;573;20.256
1;36;6;3;547;603;20.256
1;37;6;3;577;633;20.256
1;38;6;3;607;663;20.256
1;39;6;3;637;693;20.256
1;40;6;3;667;723;20.256
1;41;6;3;697;753;20.256
1;42;6;3;727;783;20.256
1;43;6;3;757;813;20.256
1;44;6;3;786;843;20.256
1;45;6;3;816;873;20.256
1;46;6;3;846;903;20.256
1;47;6;3;876;933;20.256
1;48;6;3;906;963;20.256
1;49;6;3;936;993;20.256
1;50;6;3;966;1023;20.256
1;51;6;3;997;1053;20.256
1;52;6;3;1087;1139;20.256
1;53;6;3;1117;1169;20.256
1;54;4;3;1072;1124;19.574
1;55;4;3;1102;1154;19.574
1;56;4;3;1192;1241;19.574
1;57;4;3;1222;1271;19.574
1;58;4;3;1252;1301;19.574
1;59;6;3;1207;1256;20.256
1;60;6;3;1237;1286;20.256
1;61;6;3;1267;1316;20.256
1;62;4;3;1313;1359;19.574
1;63;4;3;1373;1419;19.574
1;64;4;3;1433;1479;19.574
1;65;6;3;1328;1374;20.256
1;66;4;3;1132;1181;19.574
1;67;6;3;1027;1079;20.256
1;68;6;3;1057;1109;20.256
1;69;4;3;1042;1094;19.574
1;70;6;3;1147;1196;20.256
1;71;6;3;1177;1226;20.256
1;72;4;3;1162;1211;19.574
1;73;4;3;1283;1329;19.574
1;74;4;3;1343;1389;19.574
1;75;4;3;1403;1449;19.574
1;76;6;3;1298;1344;20.256
1;77;6;3;1358;1404;20.256
1;78;6;3;1388;1434;20.256
1;79;6;3;1418;1464;20.256
1;232;3;4;307;353;19.617
1;233;3;4;349;402;19.617
1;234;3;4;379;432;19.617
1;235;3;4;409;462;19.617
1;236;3;4;469;522;19.617
1;237;3;4;499;552;19.617
1;238;3;4;559;612;19.617
1;239;3;4;649;702;19.617
1;240;3;4;739;792;19.617
1;241;3;4;769;822;19.617
1;242;3;4;828;884;19.617
1;243;3;4;858;914;19.617
1;244;3;4;918;974;19.617
1;245;3;4;948;1004;19.617
1;246;3;4;1008;1064;19.617
1;247;3;4;1099;1152;19.617
1;251;3;4;1132;1181;19.617
1;252;3;4;1162;1211;19.617
1;253;3;4;1193;1239;19.617
1;254;3;4;1223;1269;19.617
1;255;3;4;1253;1299;19.617
1;256;3;4;1374;1418;19.617
1;257;3;4;1434;1478;19.617
1;258;3;6;337;383;20.136
1;259;3;6;364;416;20.136
1;260;3;6;394;446;20.136
1;261;3;6;424;476;20.136
1;262;3;6;484;536;20.136
1;263;3;6;514;566;20.136
1;264;3;6;604;656;20.136
1;265;3;6;843;898;20.136
1;266;3;6;873;928;20.136
1;267;3;6;933;988;20.136
1;268;3;6;963;1018;20.136
1;269;3;6;1024;1076;20.136
1;270;3;6;1117;1166;20.136
1;271;3;6;1147;1196;20.136
1;272;3;6;1178;1224;20.136
1;273;3;6;1238;1284;20.136
1;274;3;6;1269;1313;20.136
1;275;3;6;1389;1433;20.136
1;276;3;4;589;642;19.617
1;277;3;4;799;852;19.617
1;278;3;4;1039;1092;19.617
1;279;3;4;1284;1328;19.617
1;280;3;4;1344;1388;19.617
1;281;3;4;1404;1448;19.617
1;282;3;4;1069;1122;19.617
1;283;3;6;1084;1136;20.136
1;284;3;6;1208;1254;20.136
1;285;3;4;1314;1358;19.617
1;286;3;6;574;626;20.136
1;287;3;6;664;716;20.136
1;288;3;6;694;746;20.136
1;289;3;6;754;806;20.136
1;290;3;6;784;836;20.136
1;291;3;6;1054;1106;20.136
1;300;3;6;1299;1343;20.136
1;301;3;6;1329;1373;20.136
1;302;3;6;1419;1463;20.136
1;428;3;4;439;492;19.617
1;429;3;6;454;506;20.136
1;430;3;4;529;582;19.617
1;431;3;6;544;596;20.136
1;432;3;4;619;672;19.617
1;433;3;4;709;762;19.617
1;434;3;4;888;944;19.617
1;435;3;4;978;1034;19.617
1;436;3;6;903;958;20.136
1;437;3;6;993;1048;20.136
1;445;3;6;634;686;20.136
1;447;3;4;679;732;19.617
1;473;3;6;724;776;20.136
1;481;3;6;814;866;20.136
1;506;3;6;1359;1403;20.136
2;80;82;81;303;362;27.696
2;83;81;84;331;370;15.613
2;85;81;86;316;374;26.982
2;87;84;81;338;376;14.945
2;88;81;84;347;385;15.203
2;89;84;81;353;392;15.354
2;90;81;84;372;418;15.203
2;91;81;86;359;422;27.392
2;92;82;81;356;425;27.696
2;93;81;84;387;433;15.613
2;94;84;81;393;439;14.945
2;95;81;84;402;448;15.203
2;96;84;81;408;455;15.354
2;97;82;81;401;469;27.287
2;98;81;84;432;478;15.203
2;99;81;86;417;484;27.392
2;100;84;81;438;485;15.354
2;101;82;81;431;499;27.287
2;102;81;84;462;508;15.203
2;103;81;86;447;514;27.392
2;104;84;81;468;515;15.354
2;105;82;81;461;529;27.287
2;106;81;84;492;538;15.203
2;107;81;86;477;544;27.392
2;108;84;81;498;545;15.354
2;109;82;81;491;559;27.287
2;110;81;84;522;568;15.203
2;111;81;86;507;574;27.392
2;112;84;81;528;575;15.354
2;113;82;81;521;589;27.287
2;114;81;84;552;598;15.203
2;115;81;86;537;604;27.392
2;116;84;81;558;605;15.354
2;117;82;81;551;619;27.287
2;118;81;84;582;628;15.203
2;119;81;86;567;634;27.392
2;120;82;81;581;649;27.287
2;121;82;81;611;679;27.287
2;122;81;84;642;688;15.203
2;123;84;81;648;695;15.354
2;124;82;81;641;709;27.287
2;125;81;84;672;718;15.203
2;126;81;84;702;748;15.203
2;127;84;81;708;755;15.354
2;128;81;84;731;779;15.203
2;129;81;86;716;785;27.392
2;130;84;81;738;785;15.354
2;131;81;84;761;809;15.203
2;132;81;86;746;815;27.392
2;133;84;81;768;815;15.354
2;134;81;84;791;839;15.203
2;135;81;86;776;845;27.392
2;136;84;81;798;845;15.354
2;137;82;81;791;861;27.287
2;138;81;84;821;869;15.203
2;139;81;86;806;875;27.392
2;140;84;81;828;877;15.354
2;141;82;81;821;891;27.287
2;142;81;84;851;899;15.203
2;143;81;86;836;905;27.392
2;144;84;81;858;907;15.354
2;145;82;81;851;921;27.287
