Departure node;Arrival node;Duration (minutes);Distance (kilometers)
84;1139;27;14.172
439;773;15;7.097
439;774;23;11.422
671;929;18;8.396
440;773;11;5.038
671;930;13;5.247
440;774;8;3.805
86;1139;32;23.99
671;638;6;2.243
671;346;16;7.29
346;366;36;19.681
346;367;30;14.913
439;1076;24;13.367
81;572;38;19.576
440;1076;35;18.64
1076;773;28;15.976
81;573;11;5.958
346;81;8;3.841
440;1077;30;17.386
82;572;18;9.275
1076;774;36;19.835
346;82;36;19.009
1077;773;32;18.898
508;367;34;20.891
1139;366;40;33.541
1077;774;23;14.38
346;84;25;12.23
1139;367;19;13.88
510;366;12;6.26
84;572;19;11.999
346;671;16;7.247
346;86;36;19.009
510;367;27;19.026
84;573;30;15.349
1139;370;46;36.388
366;929;38;20.686
86;572;18;9.275
508;81;13;6.592
510;370;13;7.363
366;930;15;8.839
293;773;19;12.322
366;638;25;14.532
367;929;22;15.455
293;774;26;16.105
366;346;36;19.58
1139;81;7;3.916
367;930;29;14.148
294;773;25;16.131
671;366;25;14.036
367;638;21;10.726
1139;82;34;25.118
294;774;30;17.355
508;84;38;19.679
367;346;29;14.713
671;367;25;12.18
510;81;38;19.449
81;293;13;6.994
1139;84;28;14.388
510;82;10;5.377
508;671;30;15.357
81;294;24;13.891
3;439;17;9.193
82;293;30;22.344
3;440;22;13.535
439;508;19;8.799
1139;671;22;10.809
671;370;34;19.781
572;1139;36;30.164
1139;86;34;25.118
81;3;13;7.18
510;84;17;8.283
82;294;25;19.164
4;439;29;13.049
370;930;23;14.584
3;734;27;14.866
81;4;26;12.585
4;440;10;4.199
440;508;32;15.797
370;638;34;20.277
573;1139;18;9.738
82;3;28;21.533
510;671;24;11.835
510;86;10;5.377
4;734;32;16.119
82;4;16;8.923
84;293;29;17.035
81;6;28;13.492
440;510;22;10.669
671;81;20;9.539
293;1076;25;13.617
84;294;25;19.622
6;439;31;14.553
929;773;10;5.355
671;82;26;13.643
82;6;22;10.434
6;440;12;5.314
929;774;18;9.214
84;3;27;16.875
294;1076;34;21.631
930;773;16;7.259
671;84;17;6.565
6;734;33;16.62
84;4;7;2.373
86;293;30;22.344
294;1077;36;31.113
930;774;7;2.741
638;439;18;7.756
86;294;25;19.164
773;774;9;4.542
734;1139;22;11.714
671;86;26;13.643
638;440;9;3.756
84;6;13;5.166
774;773;9;4.559
86;3;28;21.533
638;734;20;10.658
86;4;16;8.923
1076;508;13;6.583
86;6;22;10.434
929;1076;18;10.98
366;367;28;24.791
1077;510;18;11.797
367;366;30;26.682
773;1076;28;15.927
930;1077;19;12.357
366;370;12;7.445
773;1077;33;19.474
572;573;39;20.662
774;1076;36;19.904
573;572;39;20.732
367;370;36;29.529
774;1077;24;14.972
293;508;23;11.982
370;366;12;7.445
294;508;34;18.827
293;510;37;29.708
370;367;34;28.167
366;82;21;10.497
367;81;23;15.855
294;510;30;25.476
367;82;24;18.259
366;84;20;13.085
367;84;24;10.77
366;671;25;13.909
366;86;21;10.497
734;573;4;2.026
367;671;25;11.993
367;86;24;18.259
370;82;19;10.63
572;293;34;28.518
929;508;15;8.137
572;294;29;25.338
370;84;28;18.83
573;293;23;12.688
930;508;38;18.977
929;510;36;18.481
572;3;32;27.707
573;294;35;19.586
370;671;34;19.654
370;86;19;10.63
773;508;22;11.935
572;4;16;10.594
930;510;13;6.694
573;3;23;12.874
774;508;30;16.277
773;510;27;13.81
573;4;28;14.143
572;6;15;7.09
774;510;18;9.308
573;6;29;14.648
734;293;27;14.664
3;773;16;11.205
734;294;39;21.562
3;774;24;14.988
4;773;15;7.19
734;3;27;14.85
4;774;8;3.617
734;4;32;16.119
734;6;33;16.624
439;1139;12;6.041
6;773;16;7.69
6;774;7;3.172
440;1139;22;10.54
81;929;3;1.307
638;773;3;1.728
81;930;28;13.081
81;638;14;7.2
638;774;6;3.146
