Departure Node;Arrival node;Duration (minutes);Travle type (TW- walk, TC - Car)
84;1139;27; TC
86;1139;32; TC
1139;366;40; TC
1139;367;19; TC
1139;370;46; TC
1139;81;7; TC
1139;82;34; TC
1139;84;28; TC
1139;671;22; TC
572;1139;36; TC
1139;86;34; TC
573;1139;18; TC
734;1139;22; TC
439;1139;12; TC
440;1139;22; TC
1076;1139;18; TC
1077;1139;42; TC
1139;439;12; TC
1139;440;22; TC
1139;734;22; TC
293;1139;8; TC
294;1139;19; TC
929;1139;7; TC
930;1139;30; TC
773;1139;15; TC
774;1139;23; TC
1139;773;15; TC
1139;774;23; TC
1139;1076;18; TC
1139;1077;44; TC
3;1139;6; TC
4;1139;28; TC
6;1139;30; TC
638;1139;17; TC
1139;508;16; TC
1139;510;38; TC
346;1139;15; TC
508;1139;16; TC
510;1139;37; TC
671;1139;23; TC
1139;572;37; TC
1139;573;18; TC
366;1139;38; TC
367;1139;18; TC
1139;293;8; TC
1139;294;19; TC
1139;3;6; TC
370;1139;45; TC
1139;4;28; TC
1139;6;30; TC
1139;929;7; TC
81;1139;7; TC
1139;930;30; TC
1139;638;16; TC
1139;346;15; TC
82;1139;32; TC
