Line number;Trip id;Departure node;Arrival node;Departure time;Arrival time;Distance (kilometers)
15;214;224;225;1164;1214;19.567
15;215;224;225;1404;1451;19.567
15;216;225;224;803;859;19.637
15;217;225;224;773;829;19.637
15;221;225;224;1403;1451;19.637
15;222;224;225;1344;1394;19.567
15;223;225;224;1282;1333;19.637
15;224;224;225;1224;1274;19.567
15;225;225;224;1162;1213;19.637
15;226;224;225;1100;1157;19.567
15;227;225;224;1106;1157;19.637
15;228;225;224;1073;1129;19.637
15;229;224;225;1065;1122;19.567
15;230;225;224;1043;1099;19.637
15;231;224;225;1035;1092;19.567
15;232;225;224;1013;1073;19.637
15;233;224;225;1005;1062;19.567
15;234;225;224;983;1043;19.637
15;235;224;225;974;1032;19.567
15;236;225;224;953;1013;19.637
15;237;224;225;944;1002;19.567
15;238;225;224;923;983;19.637
15;239;224;225;914;972;19.567
15;240;225;224;893;953;19.637
