Line number;Trip id;Departure node;Arrival node;Departure time;Arrival time;Distance (kilometers)
3;0;10;9;320;351;12.442
3;1;9;10;340;369;12.154
3;2;10;9;340;371;12.442
3;3;9;10;360;389;12.154
3;4;10;9;356;390;12.442
3;5;10;9;371;405;12.442
3;6;9;10;375;409;12.154
3;7;10;9;386;420;12.442
3;8;9;10;390;424;12.154
3;9;10;9;401;435;12.442
3;10;9;10;405;439;12.154
3;11;10;9;416;450;12.442
3;12;9;10;420;454;12.154
3;13;10;9;431;465;12.442
3;14;9;10;435;469;12.154
3;15;10;9;446;480;12.442
3;16;9;10;450;484;12.154
3;17;10;9;461;495;12.442
3;18;9;10;465;499;12.154
3;19;10;9;476;510;12.442
3;20;9;10;480;514;12.154
3;21;10;9;491;525;12.442
3;22;9;10;495;529;12.154
3;23;10;9;506;540;12.442
3;24;9;10;510;544;12.154
3;25;10;9;521;555;12.442
3;26;9;10;525;559;12.154
3;27;10;9;536;570;12.442
3;28;9;10;540;574;12.154
3;29;10;9;551;585;12.442
3;30;9;10;555;589;12.154
3;31;10;9;566;600;12.442
3;32;9;10;570;604;12.154
3;33;9;10;585;619;12.154
3;34;10;9;626;660;12.442
3;35;9;10;675;709;12.154
3;36;10;9;716;750;12.442
3;37;9;10;765;799;12.154
3;38;10;9;806;840;12.442
3;39;9;10;855;889;12.154
3;40;10;9;896;930;12.442
3;41;9;10;945;979;12.154
3;42;10;9;971;1005;12.442
3;43;10;9;986;1020;12.442
3;44;10;9;1001;1035;12.442
3;45;10;9;1016;1050;12.442
3;46;10;9;1031;1065;12.442
3;47;9;10;1035;1069;12.154
3;48;10;9;1079;1110;12.442
3;49;9;10;1126;1159;12.154
3;50;9;10;1141;1174;12.154
3;51;9;10;1156;1189;12.154
3;52;10;9;1169;1200;12.442
3;53;9;10;1171;1204;12.154
3;54;9;10;1186;1219;12.154
3;55;9;10;1201;1234;12.154
3;56;9;10;1216;1249;12.154
3;57;9;10;1231;1264;12.154
3;58;9;10;1246;1279;12.154
3;59;10;9;581;615;12.442
3;60;10;9;596;630;12.442
3;61;9;10;600;634;12.154
3;62;10;9;611;645;12.442
3;63;9;10;615;649;12.154
3;64;9;10;630;664;12.154
3;65;10;9;641;675;12.442
3;66;9;10;645;679;12.154
3;67;10;9;656;690;12.442
3;68;9;10;660;694;12.154
3;69;10;9;671;705;12.442
3;70;10;9;686;720;12.442
3;71;9;10;690;724;12.154
3;72;10;9;701;735;12.442
3;73;9;10;705;739;12.154
3;74;9;10;720;754;12.154
3;75;10;9;731;765;12.442
3;76;9;10;735;769;12.154
3;77;10;9;746;780;12.442
3;78;9;10;750;784;12.154
3;79;10;9;761;795;12.442
3;80;10;9;776;810;12.442
3;81;9;10;780;814;12.154
3;82;10;9;791;825;12.442
3;83;9;10;795;829;12.154
3;84;9;10;810;844;12.154
3;85;10;9;821;855;12.442
3;86;9;10;825;859;12.154
3;87;10;9;836;870;12.442
3;88;9;10;840;874;12.154
3;89;10;9;851;885;12.442
3;90;10;9;866;900;12.442
3;91;9;10;870;904;12.154
3;92;10;9;881;915;12.442
3;93;9;10;885;919;12.154
3;94;9;10;900;934;12.154
3;95;10;9;911;945;12.442
3;96;9;10;915;949;12.154
3;97;10;9;926;960;12.442
3;98;9;10;930;964;12.154
3;99;10;9;941;975;12.442
3;100;10;9;956;990;12.442
3;101;9;10;960;994;12.154
3;102;9;10;975;1009;12.154
3;103;9;10;990;1024;12.154
3;104;9;10;1005;1039;12.154
3;105;9;10;1020;1054;12.154
3;106;10;9;1049;1080;12.442
3;107;9;10;1051;1084;12.154
3;108;10;9;1064;1095;12.442
3;109;9;10;1066;1099;12.154
3;110;9;10;1081;1114;12.154
3;111;10;9;1094;1125;12.442
3;112;9;10;1096;1129;12.154
3;113;10;9;1109;1140;12.442
3;114;9;10;1111;1144;12.154
3;115;10;9;1124;1155;12.442
3;116;10;9;1139;1170;12.442
3;117;10;9;1154;1185;12.442
3;118;10;9;1184;1215;12.442
3;119;10;9;1199;1230;12.442
3;120;10;9;1214;1245;12.442
3;121;10;9;1229;1260;12.442
3;122;10;9;1244;1275;12.442
3;123;10;9;1261;1290;12.442
3;124;9;10;1265;1294;12.154
3;125;10;9;1276;1305;12.442
3;126;9;10;1280;1309;12.154
3;127;10;9;1291;1320;12.442
3;128;9;10;1295;1324;12.154
3;129;10;9;1306;1335;12.442
3;130;9;10;1310;1339;12.154
3;131;10;9;1321;1350;12.442
3;132;9;10;1325;1354;12.154
3;133;10;9;1336;1365;12.442
3;134;9;10;1340;1369;12.154
3;135;10;9;1351;1380;12.442
3;136;9;10;1355;1384;12.154
3;137;10;9;1366;1395;12.442
3;138;9;10;1370;1399;12.154
3;139;10;9;1381;1410;12.442
3;140;9;10;1385;1414;12.154
3;141;10;9;1396;1425;12.442
3;142;9;10;1400;1429;12.154
3;143;10;9;1411;1440;12.442
3;144;9;10;1415;1444;12.154
3;145;10;9;1426;1455;12.442
3;146;9;10;1430;1459;12.154
3;147;10;9;1441;1470;12.442
3;148;9;10;1445;1474;12.154
14;149;161;160;1442;1492;23.194
14;150;160;161;1382;1432;22.908
14;151;161;160;1322;1372;23.194
14;152;160;161;1262;1312;22.908
14;153;161;160;1202;1252;23.194
14;154;160;161;1142;1192;22.908
14;155;160;161;1442;1492;22.908
14;156;161;160;1382;1432;23.194
14;157;160;161;1322;1372;22.908
14;158;161;160;1262;1312;23.194
14;159;160;161;1202;1252;22.908
14;160;160;161;1082;1132;22.908
14;161;160;161;957;1015;22.908
14;162;160;161;927;985;22.908
14;163;160;161;897;955;22.908
14;164;161;160;919;975;23.194
14;165;161;160;889;945;23.194
14;166;160;161;837;895;22.908
14;167;161;160;859;915;23.194
14;168;160;161;807;865;22.908
14;169;161;160;829;885;23.194
14;170;160;161;777;835;22.908
14;171;160;161;747;805;22.908
14;172;161;160;769;825;23.194
14;173;161;160;739;795;23.194
14;174;160;161;687;745;22.908
14;175;161;160;709;765;23.194
14;176;160;161;657;715;22.908
14;177;161;160;679;735;23.194
14;178;160;161;627;685;22.908
14;179;160;161;597;655;22.908
14;180;161;160;619;675;23.194
14;181;161;160;589;645;23.194
14;182;161;160;1141;1197;23.194
14;183;161;160;1081;1137;23.194
14;184;160;161;1017;1075;22.908
14;185;161;160;1039;1095;23.194
14;186;160;161;987;1045;22.908
14;187;161;160;1009;1065;23.194
14;188;161;160;979;1035;23.194
14;189;161;160;949;1005;23.194
14;190;160;161;867;925;22.908
14;191;161;160;799;855;23.194
14;192;160;161;717;775;22.908
14;193;161;160;649;705;23.194
14;194;160;161;567;625;22.908
14;195;160;161;537;595;22.908
14;196;161;160;559;615;23.194
14;197;160;161;507;565;22.908
14;198;161;160;529;585;23.194
14;199;160;161;477;535;22.908
14;200;161;160;499;555;23.194
14;201;160;161;447;505;22.908
14;202;161;160;469;525;23.194
14;203;160;161;417;475;22.908
14;204;161;160;439;495;23.194
14;205;160;161;387;445;22.908
14;206;161;160;409;465;23.194
14;207;161;160;371;427;23.194
14;208;160;161;355;413;22.908
14;209;161;160;312;362;23.194
14;210;160;161;300;350;22.908
15;211;225;224;1342;1393;19.637
15;212;224;225;1284;1334;19.567
15;213;225;224;1222;1273;19.637
15;214;224;225;1164;1214;19.567
15;215;224;225;1404;1451;19.567
15;216;225;224;803;859;19.637
15;217;225;224;773;829;19.637
15;218;224;225;735;792;19.567
15;219;224;225;705;762;19.567
15;220;225;224;653;709;19.637
15;221;225;224;1403;1451;19.637
15;222;224;225;1344;1394;19.567
15;223;225;224;1282;1333;19.637
15;224;224;225;1224;1274;19.567
15;225;225;224;1162;1213;19.637
15;226;224;225;1100;1157;19.567
15;227;225;224;1106;1157;19.637
15;228;225;224;1073;1129;19.637
15;229;224;225;1065;1122;19.567
15;230;225;224;1043;1099;19.637
15;231;224;225;1035;1092;19.567
15;232;225;224;1013;1073;19.637
15;233;224;225;1005;1062;19.567
15;234;225;224;983;1043;19.637
15;235;224;225;974;1032;19.567
15;236;225;224;953;1013;19.637
15;237;224;225;944;1002;19.567
15;238;225;224;923;983;19.637
15;239;224;225;914;972;19.567
15;240;225;224;893;953;19.637
15;241;224;225;884;942;19.567
15;242;225;224;863;923;19.637
15;243;224;225;854;912;19.567
15;244;225;224;833;889;19.637
15;245;224;225;825;882;19.567
15;246;224;225;795;852;19.567
15;247;224;225;765;822;19.567
15;248;225;224;743;799;19.637
15;249;225;224;713;769;19.637
15;250;225;224;683;739;19.637
15;251;224;225;675;732;19.567
15;252;224;225;645;702;19.567
15;253;225;224;623;679;19.637
15;254;224;225;615;672;19.567
15;255;225;224;593;649;19.637
15;256;224;225;585;642;19.567
15;257;225;224;563;619;19.637
15;258;224;225;555;612;19.567
15;259;225;224;533;589;19.637
15;260;224;225;525;582;19.567
15;261;225;224;503;562;19.637
15;262;224;225;493;553;19.567
15;263;225;224;473;532;19.637
15;264;224;225;463;523;19.567
15;265;225;224;443;502;19.637
15;266;224;225;433;493;19.567
15;267;225;224;413;469;19.637
15;268;224;225;403;463;19.567
15;269;225;224;363;419;19.637
15;270;224;225;362;419;19.567
15;271;225;224;306;357;19.637
15;272;224;225;306;356;19.567
4;273;289;288;1325;1376;21.339
4;274;288;289;1151;1205;21.27
4;275;289;288;1430;1481;21.339
4;276;289;293;1415;1453;13.889
4;277;289;288;1385;1436;21.339
4;278;289;288;1355;1406;21.339
4;279;289;293;1340;1378;13.889
4;280;289;293;1310;1348;13.889
4;281;293;289;1150;1190;13.889
4;282;288;289;1121;1175;21.27
4;283;293;289;1120;1160;13.889
