Departure node;Arrival node;Duration (minutes);Distance (kilometers)
160;10;8;6.693
288;10;19;16.2
441;293;14;12.404
10;289;4;3.769
10;161;13;11.151
289;9;8;7.334
161;9;7;6.058
224;441;5;4.322
225;293;15;12.824
293;441;23;12.225
289;10;4;3.778
161;10;13;11.037
9;293;7;6.224
225;441;16;9.281
288;160;26;21.933
160;288;26;22.039
293;224;10;9.095
9;441;19;8.5
441;224;5;4.329
10;293;13;11.632
160;289;11;9.497
288;289;15;12.956
160;161;19;16.642
288;161;7;6.373
224;225;12;10.539
293;225;15;12.97
441;225;10;9.116
225;224;12;10.589
289;160;11;9.511
161;160;20;16.7
289;288;15;13.075
161;288;7;6.373
10;441;2;1.939
161;289;9;7.793
289;161;9;7.915
9;224;10;8.417
9;225;9;7.576
224;9;10;8.416
293;9;7;6.193
10;224;5;4.528
160;293;20;17.36
288;293;6;5.376
441;9;11;9.231
224;10;5;4.515
293;10;13;11.521
10;225;8;7.205
441;10;2;1.94
225;9;8;7.256
160;441;6;5.748
288;441;20;16.904
289;293;10;8.396
161;293;2;2.401
225;10;8;7.372
9;10;10;8.471
289;441;5;4.482
161;441;22;12.6
160;224;11;9.388
288;224;16;13.774
224;160;11;9.388
224;288;16;13.813
293;160;20;17.254
293;288;6;5.376
10;9;10;8.458
441;160;6;5.661
441;288;20;17.083
224;289;2;2.47
224;161;9;7.617
160;225;16;13.869
288;225;21;17.561
293;289;9;8.276
293;161;2;2.402
441;289;5;4.542
441;161;13;11.627
289;224;2;2.468
161;224;9;7.642
225;160;16;14.036
225;288;20;17.251
225;289;10;9.004
225;161;15;12.566
289;225;10;8.895
161;225;14;12.487
9;160;17;14.204
9;288;12;10.651
9;289;8;7.348
9;161;7;6.108
160;9;17;14.186
288;9;12;10.607
10;160;8;6.693
10;288;19;16.311
224;293;10;9.134
