Line number;Trip id;Departure node;Arrival node;Departure time;Arrival time;Distance (kilometers)
14;149;161;160;1442;1492;23.194
14;150;160;161;1382;1432;22.908
14;151;161;160;1322;1372;23.194
14;152;160;161;1262;1312;22.908
14;153;161;160;1202;1252;23.194
14;154;160;161;1142;1192;22.908
14;155;160;161;1442;1492;22.908
14;156;161;160;1382;1432;23.194
14;157;160;161;1322;1372;22.908
14;158;161;160;1262;1312;23.194
14;159;160;161;1202;1252;22.908
14;160;160;161;1082;1132;22.908
14;161;160;161;957;1015;22.908
14;162;160;161;927;985;22.908
14;163;160;161;897;955;22.908
14;164;161;160;919;975;23.194
14;165;161;160;889;945;23.194
14;166;160;161;837;895;22.908
14;167;161;160;859;915;23.194
14;168;160;161;807;865;22.908
14;169;161;160;829;885;23.194
14;170;160;161;777;835;22.908
14;171;160;161;747;805;22.908
14;172;161;160;769;825;23.194
14;173;161;160;739;795;23.194
14;174;160;161;687;745;22.908
14;175;161;160;709;765;23.194
14;176;160;161;657;715;22.908
14;177;161;160;679;735;23.194
14;178;160;161;627;685;22.908
14;179;160;161;597;655;22.908
14;180;161;160;619;675;23.194
14;181;161;160;589;645;23.194
14;182;161;160;1141;1197;23.194
14;183;161;160;1081;1137;23.194
14;184;160;161;1017;1075;22.908
14;185;161;160;1039;1095;23.194
14;186;160;161;987;1045;22.908
14;187;161;160;1009;1065;23.194
14;188;161;160;979;1035;23.194
14;189;161;160;949;1005;23.194
14;190;160;161;867;925;22.908
14;191;161;160;799;855;23.194
14;192;160;161;717;775;22.908
14;193;161;160;649;705;23.194
14;194;160;161;567;625;22.908
14;195;160;161;537;595;22.908
14;196;161;160;559;615;23.194
14;197;160;161;507;565;22.908
14;198;161;160;529;585;23.194
14;199;160;161;477;535;22.908
14;200;161;160;499;555;23.194
14;201;160;161;447;505;22.908
14;202;161;160;469;525;23.194
14;203;160;161;417;475;22.908
14;204;161;160;439;495;23.194
14;205;160;161;387;445;22.908
14;206;161;160;409;465;23.194
14;207;161;160;371;427;23.194
14;208;160;161;355;413;22.908
14;209;161;160;312;362;23.194
14;210;160;161;300;350;22.908
15;211;225;224;1342;1393;19.637
15;212;224;225;1284;1334;19.567
15;213;225;224;1222;1273;19.637
15;214;224;225;1164;1214;19.567
15;215;224;225;1404;1451;19.567
15;216;225;224;803;859;19.637
15;217;225;224;773;829;19.637
15;218;224;225;735;792;19.567
15;219;224;225;705;762;19.567
15;220;225;224;653;709;19.637
15;221;225;224;1403;1451;19.637
15;222;224;225;1344;1394;19.567
15;223;225;224;1282;1333;19.637
15;224;224;225;1224;1274;19.567
15;225;225;224;1162;1213;19.637
15;226;224;225;1100;1157;19.567
15;227;225;224;1106;1157;19.637
15;228;225;224;1073;1129;19.637
15;229;224;225;1065;1122;19.567
15;230;225;224;1043;1099;19.637
15;231;224;225;1035;1092;19.567
15;232;225;224;1013;1073;19.637
15;233;224;225;1005;1062;19.567
15;234;225;224;983;1043;19.637
15;235;224;225;974;1032;19.567
15;236;225;224;953;1013;19.637
15;237;224;225;944;1002;19.567
15;238;225;224;923;983;19.637
15;239;224;225;914;972;19.567
15;240;225;224;893;953;19.637
15;241;224;225;884;942;19.567
15;242;225;224;863;923;19.637
15;243;224;225;854;912;19.567
15;244;225;224;833;889;19.637
15;245;224;225;825;882;19.567
15;246;224;225;795;852;19.567
15;247;224;225;765;822;19.567
15;248;225;224;743;799;19.637
15;249;225;224;713;769;19.637
15;250;225;224;683;739;19.637
15;251;224;225;675;732;19.567
15;252;224;225;645;702;19.567
15;253;225;224;623;679;19.637
15;254;224;225;615;672;19.567
15;255;225;224;593;649;19.637
15;256;224;225;585;642;19.567
15;257;225;224;563;619;19.637
15;258;224;225;555;612;19.567
15;259;225;224;533;589;19.637
15;260;224;225;525;582;19.567
15;261;225;224;503;562;19.637
15;262;224;225;493;553;19.567
15;263;225;224;473;532;19.637
15;264;224;225;463;523;19.567
15;265;225;224;443;502;19.637
15;266;224;225;433;493;19.567
15;267;225;224;413;469;19.637
15;268;224;225;403;463;19.567
15;269;225;224;363;419;19.637
15;270;224;225;362;419;19.567
15;271;225;224;306;357;19.637
15;272;224;225;306;356;19.567
