Departure Node;Arrival node;Duration (minutes);Travle type (TW- walk, TC - Car)
1166;12;31; TC
1166;17;4; TC
1166;49;27; TC
1166;7;8; TC
1166;22;42; TC
1166;24;8; TC
1166;18;8; TC
1166;9;44;TC
1166;30;44; TC
1166;37;39; TC
1166;25;39;TC
1166;10;26; TC
1166;162;18; TC
1166;55;52; TC
12;1166;31; TC
17;1166;4; TC
49;1166;27; TC
7;1166;8; TC
22;1166;42; TC
24;1166;8; TC
18;1166;8; TC
9;1166;44;TC
30;1166;44; TC
37;1166;39; TC
25;1166;39;TC
10;1166;26; TC
162;1166;18; TC
55;1166;52; TC
24;18;3; TW
18;24;3; TW
