Node id;Depot;Minimum idle time (minutes);Maximum idle time (minutes);Driver sign on/off allowed;Driver change allowed;Driver break allowed;
1166;TRUE;-1;60;TRUE;TRUE;TRUE; 
17;FALSE;2;60;FALSE;TRUE;TRUE; 
24;FALSE;2;60;FALSE;TRUE;TRUE; 
87;FALSE;2;60;FALSE;TRUE;TRUE; 
88;FALSE;2;60;FALSE;TRUE;TRUE; 
113;FALSE;2;60;FALSE;TRUE;TRUE; 
34;FALSE;2;60;FALSE;TRUE;TRUE; 
683;FALSE;2;60;FALSE;TRUE;TRUE; 
6;FALSE;2;60;FALSE;TRUE;TRUE; 
47;FALSE;2;60;FALSE;TRUE;TRUE; 
35;FALSE;2;60;FALSE;TRUE;TRUE; 
74;FALSE;2;60;FALSE;TRUE;TRUE; 
229;FALSE;2;60;FALSE;TRUE;TRUE; 
99;FALSE;2;60;FALSE;TRUE;TRUE; 
359;FALSE;2;60;FALSE;TRUE;TRUE; 
67;FALSE;2;60;FALSE;TRUE;TRUE; 
103;FALSE;2;60;FALSE;TRUE;TRUE; 
25;FALSE;2;60;FALSE;TRUE;TRUE; 
90;FALSE;2;60;FALSE;TRUE;TRUE; 
129;FALSE;2;60;FALSE;TRUE;TRUE; 
12;FALSE;2;60;FALSE;TRUE;TRUE; 
28;FALSE;2;60;FALSE;TRUE;TRUE; 
80;FALSE;2;60;FALSE;TRUE;TRUE; 
81;FALSE;2;60;FALSE;TRUE;TRUE; 
9;FALSE;2;60;FALSE;TRUE;TRUE; 
10;FALSE;2;60;FALSE;TRUE;TRUE;
42;FALSE;2;60;FALSE;TRUE;TRUE;
37;FALSE;2;60;FALSE;TRUE;TRUE;
22;FALSE;2;60;FALSE;TRUE;TRUE;
49;FALSE;2;60;FALSE;TRUE;TRUE;
50;FALSE;2;60;FALSE;TRUE;TRUE;
246;FALSE;2;60;FALSE;TRUE;TRUE;
162;FALSE;2;60;FALSE;TRUE;TRUE;
163;FALSE;2;60;FALSE;TRUE;TRUE;
55;FALSE;2;60;FALSE;TRUE;TRUE;
14;FALSE;2;60;FALSE;TRUE;TRUE;
20;FALSE;2;60;FALSE;TRUE;TRUE;
15;FALSE;2;60;FALSE;TRUE;TRUE;
18;FALSE;2;60;FALSE;TRUE;TRUE;
96;FALSE;2;60;FALSE;TRUE;TRUE;
175;FALSE;2;60;FALSE;TRUE;TRUE;
7;FALSE;2;60;FALSE;TRUE;TRUE;
64;FALSE;2;60;FALSE;TRUE;TRUE;
397;FALSE;2;60;FALSE;TRUE;TRUE;
68;FALSE;2;60;FALSE;TRUE;TRUE;
76;FALSE;2;60;FALSE;TRUE;TRUE;
30;FALSE;2;60;FALSE;TRUE;TRUE;
