Line number;Trip id;Departure node;Arrival node;Departure time;Arrival time;Distance (kilometers)
554;98;67;99;370;413;30.426
554;176;99;35;415;458;30.349
554;369;67;99;550;593;30.426
554;413;99;35;595;638;30.349
554;637;67;99;850;893;30.426
554;698;99;35;895;938;30.349
554;801;67;99;970;1013;30.426
554;876;99;35;1015;1058;30.349
554;939;67;99;1060;1103;30.426
554;985;99;35;1105;1148;30.349
556;161;163;162;408;433;14.954
556;211;162;163;435;460;15.268
556;268;163;162;468;493;14.954
556;309;162;163;495;520;15.268
556;345;163;162;528;553;14.954
556;653;162;163;860;885;15.268
556;693;163;162;890;915;14.954
556;733;162;163;920;945;15.268
556;774;163;162;950;975;14.954
556;854;162;163;1000;1025;15.268
558;5;7;6;275;329;32.903
558;46;6;47;332;385;32.533
558;51;7;6;335;389;32.903
558;137;6;47;392;445;32.533
558;142;7;6;395;449;32.903
558;242;6;47;452;505;32.533
558;249;7;6;455;509;32.903
558;328;6;47;512;565;32.533
558;392;7;6;575;629;32.903
558;443;6;47;632;685;32.533
558;495;7;6;695;749;32.903
558;543;6;47;752;805;32.533
558;602;7;6;815;869;32.903
558;665;6;47;872;925;32.533
558;750;7;6;935;989;32.903
558;837;6;47;992;1045;32.533
558;843;7;6;995;1049;32.903
558;929;6;47;1052;1105;32.533
558;933;7;6;1055;1109;32.903
558;992;6;47;1112;1165;32.533
558;995;7;6;1115;1169;32.903
558;1037;6;47;1172;1225;32.533
558;1126;7;6;1330;1384;32.903
558;1152;6;47;1387;1440;32.533
561;8;10;9;283;339;37.702
561;29;30;10;315;365;36.856
561;41;42;9;328;369;28.448
561;57;10;9;343;399;37.702
561;59;30;42;345;386;27.865
561;106;10;9;373;429;37.702
561;108;30;10;375;425;36.856
561;155;30;42;405;446;27.865
561;180;42;9;418;459;28.447
561;207;10;9;433;489;37.703
561;210;30;10;435;485;36.856
561;262;30;42;465;506;27.865
561;287;42;9;478;519;28.448
561;308;30;42;495;536;27.865
561;321;42;9;508;549;28.448
561;341;30;42;525;566;27.865
561;356;42;9;538;579;28.448
561;372;30;42;555;596;27.865
561;399;10;9;583;639;37.703
561;429;30;42;615;656;27.865
561;466;42;9;658;699;28.448
561;479;30;10;675;725;36.856
561;515;42;9;718;759;28.448
561;528;30;42;735;776;27.865
561;555;10;9;763;819;37.702
561;585;30;42;795;836;27.865
561;623;42;9;838;879;28.448
561;646;30;10;855;909;36.856
561;659;42;9;868;909;28.448
561;685;30;42;885;926;27.865
561;704;42;9;898;939;28.448
561;725;10;9;913;969;37.703
561;728;30;42;915;956;27.865
561;767;30;42;945;986;27.865
561;784;42;9;958;999;28.448
561;809;10;9;973;1029;37.703
561;813;30;10;975;1029;36.856
561;862;30;42;1005;1046;27.865
561;881;42;9;1018;1059;28.448
561;905;30;10;1035;1085;36.856
561;922;42;9;1048;1089;28.448
561;948;30;42;1065;1106;27.865
561;963;42;9;1078;1119;28.448
561;981;30;10;1095;1145;36.856
561;988;42;9;1108;1149;28.448
561;1003;10;9;1123;1179;37.703
561;1007;30;42;1125;1166;27.865
561;1029;30;42;1155;1196;27.865
561;1047;10;9;1183;1239;37.703
561;1068;30;10;1215;1269;36.856
561;1090;42;9;1258;1299;28.448
561;1102;30;42;1275;1316;27.865
561;1120;42;9;1318;1359;28.448
561;1129;30;42;1335;1376;27.865
561;1149;42;9;1378;1419;28.448
561;1154;30;10;1395;1449;36.856
562;21;22;9;309;337;24.285
562;54;55;9;340;397;50.52
562;60;9;55;345;400;50.786
562;156;9;55;405;460;50.786
562;185;55;9;420;475;50.52
562;290;9;55;480;535;50.786
562;291;55;9;480;535;50.52
562;360;9;55;540;595;50.786
562;419;55;9;600;655;50.52
562;469;9;55;660;715;50.786
562;552;55;9;760;817;50.52
562;647;9;55;855;912;50.786
562;701;55;22;895;924;26.235
562;738;22;55;926;955;25.97
562;781;55;9;955;1010;50.52
562;814;55;9;975;1030;50.52
562;815;9;55;975;1032;50.786
562;906;55;9;1035;1090;50.52
562;907;9;55;1035;1090;50.786
562;1016;55;9;1140;1195;50.52
562;1057;9;22;1200;1228;24.816
562;1114;22;9;1302;1328;24.285
562;1155;9;22;1395;1423;24.816
