Departure node;Arrival node;Duration (minutes);Distance (kilometers)
1166;7;6;2.407
1166;9;52;53.559
12;397;13;12.168
1166;10;33;34.077
175;96;23;20.268
229;1166;21;19.282
1166;12;35;32.293
34;359;46;35.255
175;683;20;11.68
14;397;28;24.278
1166;14;16;10.41
35;359;22;18.531
96;246;30;27.423
15;397;21;18.018
1166;15;5;2.584
1166;17;6;2.411
1166;18;11;5.223
175;103;33;20.259
17;397;22;19.698
162;129;22;22.581
1166;20;5;2.489
18;397;16;14.374
229;6;32;36.603
163;129;36;31.554
1166;22;55;51.818
229;7;20;17.933
1166;24;11;5.278
20;397;21;17.896
1166;25;49;44.13
229;10;40;46.072
42;359;30;29.402
229;12;26;18.697
103;246;41;25.26
1166;28;28;23.223
175;113;0;0.063
113;229;34;34.761
229;14;17;12.207
1166;30;52;53.559
229;15;23;20.858
24;397;15;14.315
229;17;25;25.855
229;18;18;20.486
1166;34;32;18.801
1166;35;5;2.298
229;20;23;20.763
47;359;22;18.575
1166;37;49;44.11
28;397;6;3.091
229;24;18;20.427
1166;42;25;26.476
246;1166;32;27.956
229;28;25;17.716
175;129;15;14.928
113;246;8;7.767
1166;47;5;2.311
683;359;49;37.927
1166;49;40;33.295
229;34;49;41.271
1166;50;44;32.118
34;397;46;35.25
229;35;20;17.936
35;397;22;18.526
246;6;46;47.718
246;7;34;29.206
162;163;23;13.813
163;162;23;13.813
1166;55;66;65.271
246;9;48;47.909
229;42;33;38.471
129;229;20;21.014
246;14;36;33.206
246;15;30;27.807
229;47;20;17.979
246;17;26;25.799
1166;64;21;19.633
229;49;45;41.627
246;18;31;30.329
42;397;30;29.397
162;175;36;36.762
246;20;30;27.834
1166;67;5;2.233
64;359;22;12.7
1166;68;31;18.688
359;397;0;0.05
246;22;24;24.236
246;24;30;30.27
246;25;21;19.252
67;359;22;18.6
1166;74;29;27.834
47;397;22;18.57
246;28;49;46.267
68;359;46;35.142
129;246;23;22.089
1166;76;31;27.777
246;30;48;47.909
175;162;36;36.683
229;64;0;0.008
1166;80;13;10.804
246;34;31;19.189
1166;81;12;5.733
246;35;34;29.097
229;67;20;18.005
229;68;48;41.157
246;37;21;19.232
683;397;49;37.922
74;359;22;16.092
1166;87;5;1.941
1166;88;13;6.931
246;42;47;49.587
229;74;17;15.413
1166;90;32;27.815
76;359;46;44.307
229;76;41;42.354
246;47;34;29.11
229;80;21;22.799
246;49;28;28.14
1166;96;5;1.944
229;81;23;23.582
246;50;13;8.434
80;359;13;11.484
1166;683;35;21.496
1166;99;36;35.276
81;359;20;17.484
397;359;0;0.094
246;55;38;40.393
229;87;24;20.697
1166;103;42;32.347
229;88;13;8.937
229;90;41;42.392
64;397;22;12.695
87;359;26;21.413
246;64;41;42.429
229;96;24;20.7
67;397;22;18.595
88;359;20;13.35
1166;113;25;20.231
68;397;46;35.137
246;67;34;29.031
229;99;28;26.695
246;68;31;19.214
90;359;46;44.345
162;229;14;12.544
246;74;49;50.63
163;229;25;17.694
246;76;0;0.069
74;397;22;16.068
246;80;35;33.847
96;359;26;21.415
246;81;30;28.85
76;397;46;44.302
229;113;34;34.808
1166;129;16;12.866
99;359;49;48.504
246;87;30;27.504
246;88;36;34.22
80;397;13;11.479
246;90;0;0.037
162;246;43;43.923
81;397;20;17.479
103;359;47;35.279
246;96;30;27.505
175;229;34;35.195
229;129;20;21.075
246;683;28;16.68
87;397;26;21.408
246;103;41;25.26
88;397;20;13.345
90;397;46;44.34
113;359;39;36.699
246;113;8;7.844
175;246;8;7.751
1166;162;23;21.124
1166;163;37;30.1
96;397;26;21.41
99;397;49;48.499
1166;175;24;20.68
246;129;23;22.165
229;162;14;12.543
229;163;25;17.68
103;397;47;35.274
6;1166;24;24.638
7;1166;6;2.563
9;1166;51;53.152
129;359;28;27.136
10;1166;33;34.167
229;175;34;35.257
12;1166;34;32.191
6;7;22;21.95
7;6;22;21.81
6;9;33;30.129
6;10;15;11.123
113;397;39;36.694
14;1166;16;10.243
7;9;49;50.761
9;6;33;30.176
7;10;30;31.279
6;12;39;38.701
15;1166;6;2.665
9;7;49;50.464
10;6;15;11.932
7;12;32;29.495
6;14;27;28.019
10;7;31;31.479
6;15;21;21.581
9;10;33;32.945
7;14;15;9.012
17;1166;6;2.43
10;9;33;33.05
7;15;6;2.953
6;17;22;23.09
12;6;39;38.378
6;18;16;17.721
18;1166;10;8.397
12;7;32;29.503
7;17;9;3.791
10;12;48;48.229
7;18;8;5.693
6;20;20;21.486
9;15;47;50.095
14;6;27;27.564
12;10;48;47.847
10;14;36;37.547
20;1166;5;2.544
7;20;6;2.858
14;7;15;8.894
10;15;29;31.11
246;162;43;43.92
9;17;49;51.604
15;6;21;21.371
9;18;42;46.234
15;7;6;2.979
6;24;15;17.662
10;17;31;32.619
14;10;36;37.033
12;14;37;33.438
10;18;24;27.249
22;1166;55;51.968
9;20;47;50
15;9;49;50.322
7;24;8;5.634
12;15;31;29.134
17;6;22;23.051
15;10;30;30.84
14;12;37;33.43
17;7;9;3.679
10;20;29;31.014
9;22;25;24.056
6;28;32;29.631
12;17;32;30.707
18;6;16;17.727
15;12;31;28.989
12;18;26;25.337
24;1166;10;8.338
18;7;8;5.709
17;9;49;52.002
9;24;42;46.176
7;28;25;20.425
14;15;18;11.819
6;30;33;30.129
17;10;30;32.52
9;25;46;46.141
15;14;16;12.914
25;1166;49;44.062
12;20;31;29.039
18;9;43;46.678
10;24;24;27.19
7;30;49;50.761
14;17;20;16.816
20;6;21;21.25
18;10;24;27.196
17;12;32;30.669
14;18;14;11.447
20;7;6;2.858
15;17;5;3.148
6;34;39;26.789
18;12;26;25.345
17;14;20;17.101
15;18;6;3.379
14;20;18;11.724
6;35;22;21.953
20;9;48;50.2
12;24;25;25.278
17;15;5;3.139
10;28;41;39.16
246;175;8;7.828
9;30;0;0
7;34;35;20.168
20;10;29;30.719
18;14;13;11.777
28;1166;27;23.114
15;20;0;0.138
7;35;0;0.124
18;15;6;3.344
10;30;33;33.05
20;12;31;28.868
17;18;6;5.662
22;9;24;23.925
14;24;13;11.388
12;28;10;9.54
18;17;7;5.73
24;6;15;17.668
9;34;39;28.622
20;14;16;12.793
129;397;28;27.131
30;1166;51;53.152
17;20;5;3.166
24;7;8;5.65
9;35;48;50.467
15;24;6;3.434
20;15;0;0.112
10;34;47;36.268
15;25;47;43.893
6;42;7;4.069
18;20;6;3.249
24;9;43;46.619
10;35;31;31.481
9;37;46;46.12
1166;229;21;19.636
14;28;30;26.179
